2021-11-12;Jason Isbell and the 400 Unit;Paradiso;Amsterdam;Paradiso;Jason Isbell and the 400 Unit;;0;0;2021-11-07
2021-11-12;Kassa Overall;Paradiso;Amsterdam;Paradiso;;;0;0;2021-11-07
2021-11-12;Latin District;Paradiso;Amsterdam;Paradiso;;;0;0;2021-11-07
2021-11-12;Pip Blom;Paradiso;Amsterdam;Paradiso;;;0;0;2021-11-07
2021-11-12;Sóley;Paradiso;Amsterdam;Paradiso;;;0;0;2021-11-07
2021-11-12;Soul Live;Paradiso;Amsterdam;Paradiso;Soul Live;;0;0;2021-11-07
2021-11-12;Le Guess Who? 2021 | Vrijdag;TivoliVredenburg;Utrecht;TivoliVredenburg;;;0;0;2021-11-07
2021-11-12;Licht op Skrjabin;TivoliVredenburg;Utrecht;TivoliVredenburg;;;0;0;2021-11-07
2021-11-13;Le Guess Who? 2021 - zaterdag;De Helling;Utrecht;De Helling;;;0;0;2021-11-07
2021-11-13;Back in the Day is Our Future;Melkweg;Amsterdam;Melkweg;;;0;0;2021-11-07
2021-11-13;Encore: AstroWorld Day;Melkweg;Amsterdam;Melkweg;;;0;0;2021-11-07
2021-11-13;Kiss All Hipsters;Melkweg;Amsterdam;Melkweg;;;0;0;2021-11-07
2021-11-13;MILK EXPO Bas Schippers & Kee van der Meer;Melkweg;Amsterdam;Melkweg;;;0;0;2021-11-07
2021-11-13;Friedberg;Paradiso;Amsterdam;Paradiso;Friedberg;;0;0;2021-11-07
2021-11-13;Hang Youth + ZELDZAME + Vulva;Paradiso;Amsterdam;Paradiso;;;0;0;2021-11-07
2021-11-13;Jason Isbell and the 400 Unit;Paradiso;Amsterdam;Paradiso;Jason Isbell and the 400 Unit;;0;0;2021-11-07
2021-11-13;WIES;Paradiso;Amsterdam;Paradiso;Wies;;0;0;2021-11-07
2021-11-13;Le Guess Who? 2021 | Zaterdag;TivoliVredenburg;Utrecht;TivoliVredenburg;;;0;0;2021-11-07
2021-11-14;Popronde;De Vorstin;Hilversum;De Vorstin;Popronde;;0;0;2021-11-07
2021-11-14;Back in the Day is Our Future;Melkweg;Amsterdam;Melkweg;;;0;0;2021-11-07
2021-11-14;Blackbriar;Melkweg;Amsterdam;Melkweg;;;0;0;2021-11-07
2021-11-14;Gowtu XL;Melkweg;Amsterdam;Melkweg;;;0;0;2021-11-07
2021-11-14;MELKWEG HIPHOP;Melkweg;Amsterdam;Melkweg;;;0;0;2021-11-09
2021-11-14;MILK EXPO Bas Schippers & Kee van der Meer;Melkweg;Amsterdam;Melkweg;;;0;0;2021-11-07
2021-11-14;Guus Meeuwis;Paradiso;Amsterdam;Paradiso;Guus Meeuwis;Pop;0;0;2021-11-07
2021-11-14;Public Service Broadcasting;Paradiso;Amsterdam;Paradiso;Public Service Broadcasting;Experimental;0;0;2021-11-07
2021-11-14;WIES;Paradiso;Amsterdam;Paradiso;Wies;;0;0;2021-11-07
2021-11-14;Le Guess Who? 2021 | Zondag;TivoliVredenburg;Utrecht;TivoliVredenburg;;;0;0;2021-11-07
2021-11-15;Doe Maar;Paradiso;Amsterdam;Paradiso;Doe Maar;Dutch;0;0;2021-11-07
2021-11-15;Science Café: Verslaving;TivoliVredenburg;Utrecht;TivoliVredenburg;;;0;0;2021-11-07
2021-11-16;Back in the Day is Our Future;Melkweg;Amsterdam;Melkweg;;;0;0;2021-11-07
2021-11-16;Kaki King;Melkweg;Amsterdam;Melkweg;Kaki King;Acoustic;0;0;2021-11-07
2021-11-16;MILK EXPO Bas Schippers & Kee van der Meer;Melkweg;Amsterdam;Melkweg;;;0;0;2021-11-07
2021-11-16;Molchat Doma;Melkweg;Amsterdam;Melkweg;;;0;0;2021-11-07
2021-11-16;Black Country, New Road + Simon Goff;Paradiso;Amsterdam;Paradiso;;;0;0;2021-11-07
2021-11-16;Doe Maar;Paradiso;Amsterdam;Paradiso;Doe Maar;Dutch;0;0;2021-11-07
2021-11-16;Mykki Blanco;Paradiso;Amsterdam;Paradiso;Mykki Blanco;Seen Live;0;0;2021-11-07
2021-11-16;Spector;Paradiso;Amsterdam;Paradiso;Spector;;0;0;2021-11-07
2021-11-16;Balthazar;TivoliVredenburg;Utrecht;TivoliVredenburg;Balthazar;Vocal;0;0;2021-11-07
2021-11-16;De gezondheidskloof;TivoliVredenburg;Utrecht;TivoliVredenburg;;;0;0;2021-11-07
2021-11-16;dEUS;TivoliVredenburg;Utrecht;TivoliVredenburg;Deus;Alternative;0;0;2021-11-07
2021-11-17;ZWIJMEL and Friends;Ekko;Utrecht;Ekko;;;0;0;2021-11-07
2021-11-17;ALL THESE VOICES;Melkweg;Amsterdam;Melkweg;;;0;0;2021-11-07
2021-11-17;Back in the Day is Our Future;Melkweg;Amsterdam;Melkweg;;;0;0;2021-11-07
2021-11-17;Bruce Springsteen: The Legendary 1979 No Nukes Concerts (2021);Melkweg;Amsterdam;Melkweg;;;0;0;2021-11-07
2021-11-17;MILK EXPO Bas Schippers & Kee van der Meer;Melkweg;Amsterdam;Melkweg;;;0;0;2021-11-07
2021-11-17;Claud;Paradiso;Amsterdam;Paradiso;Claud;;0;0;2021-11-07
